,Анекдоты
0,"— Скажите, а это ваш ""Ягуар"" стоит около выхода?
— Да.
— Я допью?

"
1,"На распродаже человеческих органов нaчалась давка и я еле успел унести нoги.

"
2,"— Вы любите Кафку?
— Да, грефневую!

"
3,"Марк Цукерберг и Павел Дуров заходят в бар.
Цукерберг: Мне пиво и орешки.
Дуров: Мне то же самое.

"
4,"Скоро выйдет моя книга... хотя зря я ее, конечно, съел...

"
5,"— Милая, быстрее сюда! Посмотри, как мороз разукрасил окна.
— О, господи! Это же твоей рукой написано ""ты жирная шлюха""!
— Нет. Это мороз.

"
6,"Судья на заседании так долго призывал к порядку, что сколотил скворечник.

"
7,"Боксёры не занимаются сексом перед боем. Потому что недолюбливают друг друга.

"
8,"Пожар в Техасе, в школе:
- Кидай мне детей, я их буду ловить! - крикнул один пожарный другому.
- Ок.
- Ты что негров не ловишь?
- Блять ... А я думал, нахуя ты мне горелых кидаешь?!

"
9,"С успехом Стаса Михайлова и Елены Ваенги все забыли про певца Юлиана. ""А ведь я начал петь хуйню гораздо раньше!"" — жалуется исполнитель.

"
10,"Полярник Иванов развернуто и интересно отвечает на спам.

"
11,"Грустный мужчина входит в магазин:
- Здравствуйте! Вы меня помните? Я у вас вчера шарики покупал.
- Помню. Вам ещё шариков?
- Нет, я к вам с жалобой - они бракованные.
- В чём дело? Воздух не держат?
- Да нет, с этим всё в порядке.
- А что тогда?
- Не радуют они меня.

"
12,"Пришел как-то к соседям за сахаром. Захожу, дверь открыта, всюду кровь, кровь...Смотрю, о, сахар!

"
13,"- Согласен ли ты Александр взять в жёны Наташу?
- Да.
- НО ОНА ЖЕ ЖИРНАЯ, ПАРЕНЬ ЧТО ТЫ
ДЕЛАЕШЬ ОСТАНОВИСЬ!!!

"
14,"- Доктор,почему я не могу испытывать оргазм?
- Попробуйте заняться сексом.
- Но сегодня распродажа на заводе белорусской косметики!

"
15,"— Девушка, как вы прекрасны в этом вечернем туалете!
— Мужчина, вы что, охренели?! Закройте дверь!

"
16,"Толстые стриптизерши иногда перегибают палку.

"
17,"— Давай поедем на выходные к океану.
— К какому океану? Мы живем в Сыктывкаре.
— Не говори так.

"
18,"- Вы спортом занимаетесь?
- Я дротики кидаю!
- Вы дротист?
- В смысле?
- Ну, дротите?
- Ну не без этого)))

"
19,"1 сентября заходит женщина с сыном в магазин и спрашивает:
— Сосиски поступили?
— Да поступили.
Женщина сыну:
— Вот видишь даже СОСИСКИ ПОСТУПИЛИ!

"
20,"Встречаются два фотографа.
— Я теперь стоматолог.
— Почему?
— Бормашину купил.

"
21,"За октябрь в Германии продали три экземпляра Lada Kalina. С таким же показателем месяц закончили Aston Martin DB9 и Lamborghini Aventador.

"
22,"— Официант! Почему у меня кофе воняет хуями?
— А вы его другой рукой пейте.

"
23,"- Сектор конь на барабане!
- Вы совершенно правы, молодой человек. Только вот не сектор, а Виктор.
- Хорошо.
- И не конь, а Дмитриевич.
- Ладно.
- И не на барабане, а Петров.
- Принято к сведению.

"
24,"Дай человеку рыбу и он будет сыт один день. Дай человеку имя Сыт и он будет Сыт всегда.

"
25,"– Ваше предложение еще остается в силе?
– Да.
– Тогда я снова отказываюсь.

"
26,"— Если бы ты стал овцой, ты бы трахнул овцу, если бы знал, что она была человеком, как и ты?
— Мне говорили, что у вас трудно защитить курсовую, но чтобы так...

"
27,"Заходит поляк в бар, а в руках у него большая куча дерьма:
— Смотрите! Чуть не наступил!

"
28,"- Мужчина, проснитесь - вы срёте!
- А я и не сплю.

"
29,"В школе идёт урок труда у девочек 5-го класса. Учительница начинает:
- Сегодня у нас непростая тема: ""Выворачивание канта наизнанку"".
Тут одна из учениц тянет руку.
- Ну что такое, Сидорова? Опять у тебя какой-то вопрос?
- Да, Мариванна. Это что же такое получается: нравственный закон над головой, а звёздное небо внутри нас?

"
30,"Толстой ебёт Горького:
— Кто ж тебя назвал горьким, сладенький ты мой?

"
31,"Москва. Центр. Стоит мужик в пробке. Вдруг стук в окно. Опускает стекло и спрашивает, что надо.
- Понимаете, террористы взяли премьер-министра Путина в заложники и требуют 10 миллионов долларов выкуп, иначе они обольют его бензином и подожгут. Мы решили пройти по машинам, кто сколько даст.
- Ну... Я литров пять могу дать...

"
32,"- Откуда у тебя топор?
- Мне Королева эльфов дала.
- Поздравляю, а топор откуда?

"
33,"Когда Александр Грахам Белл изобрел телефон, на нём уже было три пропущенных звонка от Чака Норриса.

"
34,"- алло, милый, включи первый канал!
- включил
- что там идет?
- давай поженимся
- Я СОГЛАСНА.

"
35,"Мужик в оккупации приходит к немцам и спрашивает:
— Герр офицер, если я сдам вам партизан, чего мне за это будет?
— Триста дойч-марок.
Мужик рассказывает, где партизаны прячутся, их ловят, вешают. Мужик приходит к офицеру за деньгами. Офицер:
— Да пошел ты на хер, скажи спасибо, что вообще живой!
Мужик выходит и сосредоточенно думает: «Бля, и денег не дали, и с ребятами как-то нехорошо получилось»

"
36,"Мужик на приеме у окулиста.
Окулист:
- Думаю вам нужно прекратить дрочить.
- Это еще почему?
- Это мешает мне вас осматривать.

"
37,"Идет мужик по помойке, видит женщина лежит.
Мужик: ""Посчитай до трех.""
Женщина: ""1,2,3""
Мужик: ""А теперь обратно.""
Женщина: ""3,2,1""
Мужик чешет в затылке: ""Странно, очень неплохую бабу кто-то выкинул"".

"
38,"- Мам, пап, смотрите. Мой новый друг Алеша.
- Твою мать, мёртвый лось!
- Алеша пойдем, нам тут не рады

"
39,"— Что хуже, чем откусить кусок яблока и найти там червя?
— Быть изнасилованным.

"
40,"- Здравствуйте, я Терминатор. Вчера я сменил операционную систему.
- А какая у тебя была?
- Экс-пи.
- А стала?
- А стала Виста, бэйби!!!

"
41,"В джунглях совершил вынужденную посадку самолёт. Все пассажиры попали в плен к людоедам. Мужчин согнали в одну сторону, женщин в другую. Людоеды посовещались, и вождь говорит:
- Значит, так... Всех баб съедим, а мужиков трахать будем!
- Как?!- закричали женщины,- разве мужиков трахают?!
- Трахают, трахают! Ещё как трахают!- откликнулись мужики.

"
